Plan;Medicamento;Presentacion;Laboratorio;Familia;Principio_Activo;Receta;Porcentaje_Cobertura;Es_Cronica;Enfermedad;Requiere_Empadronamiento
SC250,SC300,SC500,SC550, SC600, SC4000;CARVICORD;50 mg comp.ran.x 30;GEMINIS FARMACEUTICA;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BIDECAR;50 mg comp.ran.x 30;BALIARDA S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FILTEN;50 mg comp.ran.x 30;GADOR S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDIL;50 mg comp.x 28;BAGO S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDILOL RICHET;50 mg comp.x 28;RICHET S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVIPAW;50 mg comp.x 30;ROSPAW;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDIL;50 mg comp.x 30;BAGO S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FILTEN LP;80 mg cap.lib.prol.x 30;GADOR S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BIDECAR CR;80 mg cáps.lib.cont.x 28;BALIARDA S.A.;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;VERATEN UD;80 mg caps.lib.ext.x 30;PHOENIX-ELEA;ANTIANGINOSO ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDIL RETARD;80 mg caps.lib.prol.x 28;BAGO S.A.;ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DILATREND AP;80 mg cáps.x 30;SIEGFRIED S.A.;ANTIHIPERTENSIVO;CARVEDILOL;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDIL D;25 mg/12.5 mg comp.x 28;BAGO S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CARVEDIL D;25 mg/12.5 mg comp.x 30;BAGO S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;DILATREND D;25/12.5 mg comp.ran.x 28;SIEGFRIED S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BIDECAR D;25mg/12.5mg comp.x 30;BALIARDA S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FILTEN D;comp.x 28;GADOR S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;ISOBLOC D;comp.x 30;CASASCO S.A.I.C.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FILTEN D;comp.x 30;GADOR S.A.;ANTIHIPERTENSIVO DIURÉTICO;CARVEDILOL+HIDROCLOROTIAZIDA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CASCARA SAGRADA OLIGOPLEX;comp.x 30;DR. MADAUS S.A.;LAXANTE;CÁSCARA SAGRADA;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CASTAÑA DE INDIA S.C.;comp.rec.x 30;ARISTON S.A.I.C.F.;ANTIVARICOSO;CASTAÑO DE INDIAS+ASOC.;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CASTAÑA DE INDIA S.C.;sol.x 30 ml;ARISTON S.A.I.C.F.;ANTIVARICOSO;CASTAÑO DE INDIAS+ASOC.;VENTA BAJO RECETA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;250 mg susp.x 60 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADROXILO FABRA;250 mg susp.x 90 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;250 mg susp.x 90 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAMAR;250 mg/5 ml susp.x 70 ml;MAR S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADROX 250;250 mg/5 ml susp.x 90 ml;PABLO CASSARA S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADROX;500 mg comp.rec.x 10;PABLO CASSARA S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KLONDROXIL;500 mg comp.x 8;KLONAL S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADROXILO FABRA;500 mg comp.x 8;FABRA S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACILINA;500 mg comp.x 8;MONTPELLIER S.A.  QUIMICA;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;500 mg comp.x 8;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAMAR;500 mg comp.x 14;MAR S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADROXILO FABRA;500 mg comp.x 16;FABRA S.R.L.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACILINA;500 mg comp.x 16;MONTPELLIER S.A.  QUIMICA;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;500 mg comp.x 16;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;500 mg susp.x 60 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;500 mg susp.x 90 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAMAR;500 mg/5 ml susp.x 70 ml;MAR S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACILINA;1000 mg comp.x 8;MONTPELLIER S.A.  QUIMICA;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;1000 mg comp.x 8;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFACAR;1000 mg comp.x 16;SIEGFRIED S.A.;ANTIBIÓTICO;CEFADROXILO;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA DUO;1 g comp. x 14;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA DUO;1 g comp. x 16;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFADUO;1 g comp.rec.x 10;AUSTRAL  S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;1 g comp.x 8;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN DUO 1 GR;1 g comp.x 14;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;1 g comp.x 14;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA LABSA;1 g comp.x 16;LABSA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN DUO 1 GR;1 g comp.x 16;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAGRAND;1 g comp.x 16;BIOSINTEX RETAIL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;1 g comp.x 16 (TRZB);RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;250 mg jbe.x 60 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA LABSA;250 mg jbe.x 90 ml;LABSA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;250 mg jbe.x 90 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;250 mg pvo.p/susp.x 18ds;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;250 mg pvo.p/susp.x 24ds;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA SANT GALL FRIBURG;250 mg susp.ext.x 90 ml;SANT GALL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;VELEXINA;250 mg susp.oral x 90 ml;KLONAL S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;250 mg susp.x 90 ml;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;250 mg susp.x 90 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;250 mg susp.x 120 ml;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;250 mg susp.x 120 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAGRAND;500 g comp.x 16;BIOSINTEX RETAIL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA HLB;500 mg comp. x 16;HLB PHARMA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KEFORAL;500 mg comp.rec.x 8;IVAX ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SANIBIOTIC;500 mg comp.rec.x 10;LERSAN;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SINURIT;500 mg comp.rec.x 16;MICROSULES ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;BUTEFINA;500 mg comp.rec.x 16;SAVANT GENER;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KEFORAL;500 mg comp.rec.x 16;IVAX ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KEFORAL;500 mg comp.rec.x 24;IVAX ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;500 mg comp.x 8;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FECOFAR;500 mg comp.x 8;FECOFAR COOP. LTDA.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500 mg comp.x 8;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN;500 mg comp.x 8;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFOSPOREN;500 mg comp.x 8;TRB-PHARMA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;500 mg comp.x 8;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RIBAMICIN;500 mg comp.x 8;RONNET LABORATOIRES S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;500 mg comp.x 8;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;VELEXINA;500 mg comp.x 16;KLONAL S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA SANT GALL FRIBURG;500 mg comp.x 16;SANT GALL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA LABSA;500 mg comp.x 16;LABSA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;500 mg comp.x 16;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FECOFAR;500 mg comp.x 16;FECOFAR COOP. LTDA.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN;500 mg comp.x 16;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFOSPOREN;500 mg comp.x 16;TRB-PHARMA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;RIBAMICIN;500 mg comp.x 16;RONNET LABORATOIRES S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;500 mg comp.x 16;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;500 mg comp.x 16;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SEPTILISIN;500 mg comp.x 20;BAGO S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;500 mg comp.x 24;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;500 mg comp.x 24;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KEFORAL;500 mg jbe.ext.x 60 ml;IVAX ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;KEFORAL;500 mg jbe.ext.x 100 ml;IVAX ARGENTINA S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;500 mg jbe.x 60 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA LABSA;500 mg jbe.x 90 ml;LABSA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;500 mg jbe.x 90 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FABRA;500 mg jbe.x 120 ml;FABRA S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500 mg pvo.p/susp.x 12ds;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500 mg pvo.p/susp.x 18ds;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500 mg pvo.p/susp.x 24ds;RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFAGRAND;500 mg susp.ext.x 90 ml;BIOSINTEX RETAIL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA SANT GALL FRIBURG;500 mg susp.ext.x 90 ml;SANT GALL;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;VELEXINA;500 mg susp.oral x 90 ml;KLONAL S.R.L.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FECOFAR;500 mg susp.x 60 ml;FECOFAR COOP. LTDA.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SANIBIOTIC AUSTRAL;500 mg susp.x 90 ml;AUSTRAL  S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SANIBIOTIC;500 mg susp.x 90 ml;LERSAN;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN;500 mg susp.x 90 ml;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;500 mg susp.x 90 ml;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA HLB;500 mg susp.x 90 ml;HLB PHARMA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;FABOTOP;500 mg susp.x 90 ml;SAVANT GENER;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;500 mg susp.x 90 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;SEPTILISIN;500 mg susp.x 90 ml;BAGO S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA FECOFAR;500 mg susp.x 90 ml;FECOFAR COOP. LTDA.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN;500 mg susp.x 120 ml;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;LAFEXINA;500 mg susp.x 120 ml;LAFEDAR;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA;500 mg susp.x 120 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500mg comp.ran.x16(TRZB);RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA RICHET;500mg comp.ran.x24(TRZB);RICHET S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEPOREXIN DUO 750;750 mg susp.ped.x 90 ml;ROEMMERS;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA LABSA;750 mg susp.x 90 ml;LABSA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA ARGENTIA DUO;750 mg susp.x 90 ml;SIEGFRIED S.A.;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
SC250,SC300,SC500,SC550, SC600, SC4000;CEFALEXINA HLB;1000 mg comp. x 16;HLB PHARMA;ANTIBIÓTICO;CEFALEXINA;VENTA BAJO RECETA ARCHIVADA;40;NO;;NO
